,Dates,Total Confirmed,Total Active,Total Recovered,Total Deaths
0,15 March ,112,97,13,2
1,16 March ,126,110,14,2
2,17 March ,146,128,15,3
3,18 March ,171,153,15,3
4,19 March ,198,174,20,4
5,20 March ,256,229,23,4
6,21 March ,334,307,23,4
7,22 March ,403,373,23,7
8,23 March ,497,463,25,9
9,24 March ,571,521,40,10
10,25 March ,657,603,43,11
11,26 March ,730,664,50,16
12,27 March ,883,789,75,19
13,28 March ,1019,910,85,24
14,29 March ,1139,1010,102,27
15,30 March ,1326,1148,137,41
16,31 March ,1635,1438,150,47
17,01 April ,2059,1837,169,53
18,02 April ,2545,2285,191,69
19,03 April ,3105,2792,230,83
20,04 April ,3684,3302,286,96
21,05 April ,4293,3846,329,118
22,06 April ,4777,4249,394,134
23,07 April ,5350,4720,469,161
24,08 April ,5915,5169,565,181
25,09 April ,6728,5866,635,227
26,10 April ,7599,6564,786,249
27,11 April ,8453,7191,972,290
28,12 April ,9211,7793,1086,332
29,13 April ,10454,8897,1198,359
30,14 April ,11485,9724,1365,396
31,15 April ,12371,10439,1509,423
32,16 April ,13432,11216,1767,449
33,17 April ,14354,11827,2040,487
34,18 April ,15725,12737,2466,522
35,19 April ,17305,13891,2854,560
36,20 April ,18544,14678,3273,593
37,21 April ,20081,15459,3976,646
38,22 April ,21373,16321,4370,682
39,23 April ,23040,17306,5012,722
40,24 April ,24448,18171,5496,781
41,25 April ,26283,19520,5938,825
42,26 April ,27890,20486,6523,881
43,27 April ,29458,21416,7103,939
44,28 April ,31360,22613,7739,1008
45,29 April ,33065,23557,8429,1079
46,30 April ,34866,24653,9059,1154
47,01 May ,37262,26010,10021,1231
48,02 May ,39826,27651,10852,1323
49,03 May ,42778,29552,11763,1463
50,04 May ,46434,32023,12845,1566
51,05 May	,49400,33565,14142,1693
52,06 May	,52987,35871,15331,1785
53,07 May	,56351,37686,16776,1889
54,08 May	,59695,39823,17887,1985
55,09 May	,62808,41406,19301,2101
56,10 May	,67161,43980,20969,2212
57,11 May	,70767,45924,22549,2294
58,12 May ,74291,47457,24420,2414
